Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
ASHOKLEY,2024-05-23,106.1750030517578,2024-06-11,118.9800033569336,Win,12.06,0.5213672023991902,0.22958893952474377,1.0496506387571338
ASHOKLEY,2024-05-27,113.3499984741211,2024-06-13,118.3949966430664,Win,4.45,0.5529274257805661,0.27646390291286493,1.0998659822557815
ASHOKLEY,2024-05-28,113.4250030517578,2024-06-14,119.91999816894533,Win,5.73,0.5531791060745049,0.2765898142901437,1.088157598185633
WIPRO,2024-07-01,263.67498779296875,2024-07-19,278.6000061035156,Win,5.66,0.6230184602985372,0.20688857043920603,1.0683798517891885
ZENSARTECH,2024-07-03,745.0499877929688,2024-07-23,758.9500122070312,Win,1.87,0.5265471724130841,0.2391683788656445,1.0172545243374986
FEDERALBNK,2024-07-04,180.97000122070312,2024-07-24,201.22999572753903,Win,11.2,0.5623930988566999,0.17019080739075979,1.02595813800395
OIL,2024-07-04,492.3500061035156,2024-07-24,543.5,Win,10.39,0.5619942090700749,0.2422623888979877,1.0481353491230827
ZENSARTECH,2024-07-04,752.2999877929688,2024-07-24,767.0499877929688,Win,1.96,0.688454032872038,0.3051699443588969,1.0217299536296938
OIL,2024-07-05,489.5,2024-07-25,566.9000244140625,Win,15.81,0.6236060991124333,0.2648578811369509,1.0351057245732735
ZENSARTECH,2024-07-05,737.2000122070312,2024-07-25,773.5999755859375,Win,4.94,0.5443040090948608,0.21640133166517667,0.9988433498118214
FEDERALBNK,2024-07-08,188.0599975585937,2024-07-26,198.0,Win,5.29,0.5735543146183939,0.14287447019639987,1.052339006605632
OIL,2024-07-08,500.0499877929688,2024-07-26,560.6500244140625,Win,12.12,0.6008176444538346,0.228825373427253,1.049260964480922
FEDERALBNK,2024-07-09,187.75,2024-07-29,201.009994506836,Win,7.06,0.5563724326060866,0.13753405954875217,1.0443560952049706
OIL,2024-07-09,509.1499938964844,2024-07-29,580.4000244140625,Win,13.99,0.6155363049729234,0.24152642360109353,1.0592447754985566
FEDERALBNK,2024-07-10,188.66000366210932,2024-07-30,201.83999633789065,Win,6.99,0.5735965299220712,0.14443431408575433,1.0433033455794827
OIL,2024-07-10,512.8499755859375,2024-07-30,583.0499877929688,Win,13.69,0.6778582409107435,0.2668175282812759,1.0581221717105296
