condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
volume_to_volume_ema_3_daily_difference_pct <= 34.04660855226177,volume_to_volume_ema_3_daily_difference_pct,<=,34.04660855226177,384,11,373,2.864583333333333,84.61538461538461,90.09661835748793
volume_to_volume_ema_5_daily_difference_pct <= 51.19691773901079,volume_to_volume_ema_5_daily_difference_pct,<=,51.19691773901079,384,11,373,2.864583333333333,84.61538461538461,90.09661835748793
volume_to_volume_ema_21_daily_difference_pct <= 94.55287460166234,volume_to_volume_ema_21_daily_difference_pct,<=,94.55287460166234,384,11,373,2.864583333333333,84.61538461538461,90.09661835748793
volume_to_volume_ema_55_daily_difference_pct <= 124.19622984120247,volume_to_volume_ema_55_daily_difference_pct,<=,124.19622984120247,384,11,373,2.864583333333333,84.61538461538461,90.09661835748793
close_ema_3_daily_slope_pct <= 4.155970783240652,close_ema_3_daily_slope_pct,<=,4.155970783240652,384,11,373,2.864583333333333,84.61538461538461,90.09661835748793
close_ema_8_daily_slope_pct <= 2.369594718506849,close_ema_8_daily_slope_pct,<=,2.369594718506849,384,11,373,2.864583333333333,84.61538461538461,90.09661835748793
close_to_close_ema_3_daily_difference_pct >= -4.168792271528552,close_to_close_ema_3_daily_difference_pct,>=,-4.168792271528552,385,11,374,2.857142857142857,84.61538461538461,90.33816425120773
volume_to_volume_ema_3_daily_difference_pct >= -47.10305817662055,volume_to_volume_ema_3_daily_difference_pct,>=,-47.10305817662055,385,11,374,2.857142857142857,84.61538461538461,90.33816425120773
volume_to_volume_ema_5_daily_difference_pct >= -54.62104508109377,volume_to_volume_ema_5_daily_difference_pct,>=,-54.62104508109377,385,11,374,2.857142857142857,84.61538461538461,90.33816425120773
volume_to_volume_ema_8_daily_difference_pct >= -59.98404057279322,volume_to_volume_ema_8_daily_difference_pct,>=,-59.98404057279322,385,11,374,2.857142857142857,84.61538461538461,90.33816425120773
volume_to_volume_ema_21_daily_difference_pct >= -64.5426641710278,volume_to_volume_ema_21_daily_difference_pct,>=,-64.5426641710278,385,11,374,2.857142857142857,84.61538461538461,90.33816425120773
volume_to_volume_ema_55_daily_difference_pct >= -66.08125011408653,volume_to_volume_ema_55_daily_difference_pct,>=,-66.08125011408653,385,11,374,2.857142857142857,84.61538461538461,90.33816425120773
